descripcion,sku
Sensor movimiento 360grados infrarrojo con sensor para sobreponer en techo,SM-360-1S-N
Sensor movimiento 360 grados infrarrojo con triple sensor para sobreponer en techo,SM-360-TS-N
Metro cuadrado de pelicula inteligente cambia transparencia,SMART_FILM
SENSOR DE MOVIMIENTO CON TIRA LED,SM-BDL-01
4-Pack SENSOR DE MOVIMIENTO CON LUZ DE NOCHE RECARGABLE,SM-LN-BAT/4-Pack
Sensor movimiento 360grados de microondas para sobreponer en techo,SM-MO-360-S
Controlador Chaising,SPI-16S+M16S
Dimmer bajo voltaje de 0 a 10V,SR-2006
DECODIFICADOR DMX512 DE BAJO VOLTAJE,SR-2102B
PANEL TOUCH PARA CONTOL DE DISPOSITIVOS DMX512,SR-2812-US3
PANEL TOUCH DUAL PARA CONTOL DE DISPOSITIVOS DMX512,SR-2834B-DMX
REPETIDOR DE SEÑAL PARA TIRAS DE BAJO VOLTAJE,SR-3001
tubo T8 led de 18W,T8IC-LED-18W/BN
Kit con tira digital flexible de LED 5050 SMD 12V IP45 RGB-CHASING,TCHK-LED-5050/RGB
"""Tira flexible 30 LEDs x metro, 5050 SMD, exterior""",TCH-LED-5050/RGB
KIT DE TIRA LED DE 3 MTS,TL-CI-3M
"""Tira flexibe 168 LEDs x metro, 2110 SMD, interior """,TLED-168-2110/3000K
Tira flexible de led 2110 de 4mm 4000k 24V,TLED-168-2110/4000K
"""Tira flexibe 168 LEDs x metro, 2110 SMD, interior """,TLED-168-2110/6000K
Conector de presion para tira 2110,TLED-2110-24V-1
Tira flexible de led 2110 SMD IP66 24V 5mts 1800k,TLED-240-2110-IP66/1800K
Tira flexible de LED 2110 SMD IP66 24V 5 metros 6000K,TLED-240-2110-IP66/6000K
Tira flexible de LED 2216 SMD 12V Luz de Dia,TLED-240-2216/LD
"""Tira flexible 280 LEDs x metro, 2110 SMD, 24V, interior 1800K""",TLED-280-2110/1800K
"""Tira flexible 280 LEDs x metro, 2110 SMD, 24V, interior BC""",TLED-280-2110/3000K
"""Tira flexible 280 LEDs x metro, 2110 SMD, 24V, interior BN""",TLED-280-2110/4000K
"""Tira flexible 280 LEDs x metro, 2110 SMD, 24V, interior LD""",TLED-280-2110/6000K
"""Tira flexible 280 LEDs x metro, 2110 SMD, 24V, interior""",TLED-280-2110/DUAL
"Tira flexible 60 LEDs x metro, 2835 SMD, exterior",TLED-2835-IP66-SS
